ID|USER|TARGET|MENTION|POLARITY|INFO|MESSAGE|TAGGED
"212975188487323648"|kika_sm|"team"|"7184"||""|"RT @jmgn1977: Paulo Bento tiene un gran trabajo por delante. Recuperar a Cristiano Ronaldo, que ha quedado muy tocado. #Portugal #Euro2012"|"RT @jmgn1977: Paulo Bento tiene un gran trabajo por delante. Recuperar a Cristiano Ronaldo, que ha quedado muy tocado. #Portugal #Euro2012"
"212974794218541056"|pjeronimo|"player"|"198"||""|"#Ronaldo, a nódoa no jogo de hoje, deverá ser o 1º entre milhões de portugueses a agradecer a Varela (esteve quase com a Alemanha) #Euro2012"|"#Ronaldo, a nódoa no jogo de hoje, deverá ser o 1º entre milhões de portugueses a agradecer a Varela (esteve quase com a Alemanha) #Euro2012"
"212974725343875072"|euRafa|"team"|"7184"||""|"Esta jornalista na #SIC está a ficar inebriada só do bafo dos adeptos! #euro2012 #portugal"|"Esta jornalista na #SIC está a ficar inebriada só do bafo dos adeptos! #euro2012 #portugal"
"212974701197262849"|_DinarteAbreu|"team"|"7184"||""|"Faz retweet se a tua voz está como a minha... roca! :D #Euro2012 #Portugal"|"Faz retweet se a tua voz está como a minha... roca! :D #Euro2012 #Portugal"
"212974220890734592"|vanessasilva|"team"|"7184"||""|"viva portugal! http://t.co/Wzk7KZ6S #euro2012 #portugal ...wait what? oh yeah!"|"viva portugal! http://t.co/Wzk7KZ6S #euro2012 #portugal ...wait what? oh yeah!"
"212973796544610306"|sixhat|"team"|"7184"||""|"RT @iphil: Os dois responsáveis pelo sofrimento de hoje: Paulo Bento (o maior responsável) e Ronaldo #Portugal #Euro2012 #POR #DEN"|"RT @iphil: Os dois responsáveis pelo sofrimento de hoje: Paulo Bento (o maior responsável) e Ronaldo #Portugal #Euro2012 #POR #DEN"
"212973586200281089"|letsgobryan|"team"|"7184"||""|"WE WON! #Portugal #Euro2012"|"WE WON! #Portugal #Euro2012"
"212973151108345856"|Rita_s715|"team"|"7184"||""|"RT @JornalNoticias: Nani entra no campo e abraça Varela. Festa portuguesa em Lviv.  #Portugal #Euro2012"|"RT @JornalNoticias: Nani entra no campo e abraça Varela. Festa portuguesa em Lviv.  #Portugal #Euro2012"
"212973075912863744"|sofiag_hlnlz_1D|"team"|"7184"||""|"I'm PRTUGUESE and I'm proud of it! #Euro2012 #Portugal http://t.co/eUdMAvIN"|"I'm PRTUGUESE and I'm proud of it! #Euro2012 #Portugal http://t.co/eUdMAvIN"
"212972544695873536"|B_Sousa_rally|"team"|"7184"||""|"RT @JornalNoticias: Nani entra no campo e abraça Varela. Festa portuguesa em Lviv.  #Portugal #Euro2012"|"RT @JornalNoticias: Nani entra no campo e abraça Varela. Festa portuguesa em Lviv.  #Portugal #Euro2012"
"212972450655371265"|euRafa|"team"|"7184"||""|"Eu não estou a gozar, a pergunta é séria... Nesta nova pub ao Linic, a voz do CR7 é o @lfrancobastos, não é? #euro2012 #portugal"|"Eu não estou a gozar, a pergunta é séria... Nesta nova pub ao Linic, a voz do CR7 é o @lfrancobastos, não é? #euro2012 #portugal"
"212972430480777218"|iPhil|"team"|"7184"||""|"Os dois responsáveis pelo sofrimento de hoje: Paulo Bento (o maior responsável) e Ronaldo #Portugal #Euro2012 #POR #DEN"|"Os dois responsáveis pelo sofrimento de hoje: Paulo Bento (o maior responsável) e Ronaldo #Portugal #Euro2012 #POR #DEN"
"212972425783152640"|Naphie88|"team"|"7184"||""|"RT @x3Catarina: I'm so proud of my country :') #Portugal #Euro2012"|"RT @x3Catarina: I'm so proud of my country :') #Portugal #Euro2012"
"212972184933646336"|Ana_RitaML|"team"|"7184"||""|"#Portugal 3 - 2 Denmark! GO PORTUGAL!!!! #euro2012"|"#Portugal 3 - 2 Denmark! GO PORTUGAL!!!! #euro2012"
"212971623370862592"|MariannaDelRey|"team"|"7184"||""|"Congrats #Portugal ! #Euro2012"|"Congrats #Portugal ! #Euro2012"
"212971202652811264"|drjunior|"team"|"7184"||""|"RT @JornalNoticias: Termina o jogo na Ucrânia. Portugal venceu a Dinamarca por 3-2 #Portugal #Euro2012"|"RT @JornalNoticias: Termina o jogo na Ucrânia. Portugal venceu a Dinamarca por 3-2 #Portugal #Euro2012"
"212971140077977600"|DaiBu|"team"|"7184"||""|"Obrigado #Portugal #euro2012"|"Obrigado #Portugal #euro2012"
"212970721914257409"|jose_pedro_dias|"player"|"1098"||""|"nani and coentrão played very well. #por17 #por5 #euro2012"|"nani and coentrão played very well. #por17 #por5 #euro2012"
"212970721914257409"|jose_pedro_dias|"player"|"1840"||""|"nani and coentrão played very well. #por17 #por5 #euro2012"|"nani and coentrão played very well. #por17 #por5 #euro2012"
"212970641907920897"|iPhil|"team"|"7184"||""|"Na TVI defende-se o impossível: Ronaldo #Portugal #Euro2012 #POR #DEN"|"Na TVI defende-se o impossível: Ronaldo #Portugal #Euro2012 #POR #DEN"
"212970494687854592"|porfaria|"team"|"7184"||""|"Ronaldo teve um dia mau, quem não teve já um?! Ganhamos o importante é festejar e preparar o próximo jogo #Euro2012 #Portugal"|"Ronaldo teve um dia mau, quem não teve já um?! Ganhamos o importante é festejar e preparar o próximo jogo #Euro2012 #Portugal"
"212970440493236224"|CBPortugal|"team"|"7184"||""|"Portugal ganhou à Dinamarca por 3-2!!! Parabéns #Portugal. #Euro2012"|"Portugal ganhou à Dinamarca por 3-2!!! Parabéns #Portugal. #Euro2012"
"212970381299023873"|JoaoRosete|"team"|"7184"||""|"RT @B_Sousa_rally: vitoria sofrida, mas ganhamos #Portugal 3 #dinmark 2 we won the match #POR 3 #DEN 2 #euro2012 #eurocup"|"RT @B_Sousa_rally: vitoria sofrida, mas ganhamos #Portugal 3 #dinmark 2 we won the match #POR 3 #DEN 2 #euro2012 #eurocup"
"212970282649006081"|nunoantunes|"team"|"7184"||""|"Mais uma desculpa para os Portugueses se emborratxarem a meio da semana! #VenhaAHolanda! #portugal #ForcaPortugal #JoguemABola #Euro2012"|"Mais uma desculpa para os Portugueses se emborratxarem a meio da semana! #VenhaAHolanda! #portugal #ForcaPortugal #JoguemABola #Euro2012"
"212970270737186816"|cantodojo|"team"|"7184"||""|"Para mim o homem do jogo é o Pepe Varela (juro que só bebi uma bohemia!) #Portugal #Euro2012"|"Para mim o homem do jogo é o Pepe Varela (juro que só bebi uma bohemia!) #Portugal #Euro2012"
